CWC ID Number,Laboratory,d13C,%C,d15N,%N,C:N,d34S,%S,,
CWC0087,University of Windsor,-18.22,44.41,10.53,13.79,3.22,12.27,1.50,,
CWC0088,University of Windsor,-18.31,41.79,8.44,13.48,3.10,10.25,1.57,,
CWC0089,University of Windsor,-21.78,43.14,10.22,13.81,3.15,11.30,1.31,,
CWC0090,University of Windsor,-21.93,44.49,6.06,11.01,4.04,not measured,not measured,,
CWC0091,University of Windsor,-19.75,40.47,6.15,10.27,3.94,not measured,not measured,,
CWC0092,University of Windsor,-18.48,44.27,5.96,11.25,3.94,not measured,not measured,,
CWC0093,University of Windsor,-19.13,43.03,7.32,12.30,3.50,not measured,not measured,,
CWC0094,University of Windsor,-19.56,40.86,8.17,13.87,2.95,9.51,0.96,,
CWC0095,University of Windsor,-20.82,42.67,8.73,14.26,2.99,11.99,0.92,,
CWC0096,University of Windsor,-19.44,44.19,8.66,14.79,2.99,11.02,0.95,,
CWC0097,University of Windsor,-18.85,43.75,7.41,14.81,2.95,6.56,0.93,,
CWC0098,University of Windsor,-19.39,43.64,7.91,15.06,2.90,7.83,0.99,,
CWC0102,University of Windsor,-16.73,45.45,7.93,14.40,3.16,3.93,1.56,,
CWC0103,University of Windsor,-17.02,45.24,5.23,14.53,3.11,5.74,1.53,,
CWC0104,University of Windsor,-16.64,45.45,9.06,14.76,3.08,6.51,1.56,,
CWC0106,University of Windsor,-19.19,43.25,7.43,14.80,2.92,not measured,not measured,,
CWC0109,University of Windsor,-18.78,45.37,9.39,14.71,3.08,7.75,1.46,,
CWC0111,University of Windsor,-17.48,43.37,11.69,13.23,3.28,11.66,1.31,,
CWC0112,University of Windsor,-18.16,44.13,11.17,14.77,2.99,10.08,1.40,,
CWC0113,University of Windsor,-19.69,44.95,9.31,14.56,3.09,8.54,1.51,,
